row_number_in_csv_including_header,date_raw,parsed_date,rule,severity,message,open,high,low,close,volume_kg
1763,4/1/2010,2010-01-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,242,244,241.9,243.9,2479
1793,22/2/2010,2010-02-22,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,247.65,247.99,246.01,246.6,2753
1843,4/5/2010,2010-05-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,258.68,259.5,258.1,258.1,1745.8
1872,15/6/2010,2010-06-15,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,270.5,270.5,267.8,268.92,3309
1873,17/6/2010,2010-06-17,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,273,273,270.7,271.5,1945
1942,27/9/2010,2010-09-27,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,280,280.5,279,280.4,4533
1946,8/10/2010,2010-10-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,287,287,285,285.8,2738
2007,4/1/2011,2011-01-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,303.9,303.9,301.71,302.5,27526
2028,9/2/2011,2011-02-09,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,290.99,290.99,289.02,290,34248
2067,6/4/2011,2011-04-06,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,306.5,306.55,304,306.45,36934
2085,3/5/2011,2011-05-03,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,316.2,323.9,316,322,25292
2109,7/6/2011,2011-06-07,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,321.87,322.25,321.75,322.05,18662
2178,13/9/2011,2011-09-13,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,379,379.95,376.5,377.53,44858
2192,10/10/2011,2011-10-10,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,338.49,345,338.49,342.98,111142
2252,3/1/2012,2012-01-03,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,320,320,320,320,20
2266,30/1/2012,2012-01-30,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,355,355,351.01,351.1,74444
2311,4/4/2012,2012-04-04,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,340,340,336,339.4,66646
2329,1/5/2012,2012-05-01,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,336.98,336.98,335.99,336.1,42950
2339,17/5/2012,2012-05-17,weekday_gap,warning,与上一交易日相隔 3 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,316,317.68,313.6,316.9,53728
2365,25/6/2012,2012-06-25,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,328.53,328.53,323.12,323.15,72302
2435,8/10/2012,2012-10-08,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,362,362,357.9,358.3,49220
2496,3/1/2013,2013-01-03,weekday_gap,warning,与上一交易日相隔 3 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,333,333,333,333,10
2498,8/1/2013,2013-01-08,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,333,333,330.7,331.5,92944
2522,18/2/2013,2013-02-18,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,332.5,333.75,326.4,327.38,220240
2555,8/4/2013,2013-04-08,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,318.99,318.99,315.52,316.6,99730
2570,1/5/2013,2013-05-01,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,295,295,295,295,8
2588,28/5/2013,2013-05-28,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,282,282,278.81,279.15,156406
2597,13/6/2013,2013-06-13,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,281.09,281.09,276.86,277.99,188130
2667,23/9/2013,2013-09-23,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,262.99,263.41,259.8,263.4,139522
2675,8/10/2013,2013-10-08,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,265,265,262.5,263.2,227028
2736,2/1/2014,2014-01-02,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,238.85,242.3,238.85,242.3,104000
2757,6/2/2014,2014-02-06,weekday_gap,warning,与上一交易日相隔 7 个日历日，其间有 4 个工作日缺失（可能为交易所假期或抓取缺口）。,247.37,247.37,246.15,246.4,15981
2817,5/5/2014,2014-05-05,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,260.59,263.2,260.59,262.85,112320
2837,3/6/2014,2014-06-03,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,252.8,252.8,250.15,250.85,108072
2906,9/9/2014,2014-09-09,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,250.25,250.25,248.18,248.2,142776
2922,2/10/2014,2014-10-02,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,242,242,241.08,241.24,144983.8
2923,8/10/2014,2014-10-08,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,241,241.4,240,241.26,231535
2984,5/1/2015,2015-01-05,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,240.6,240.68,238.8,240.55,215167
3016,25/2/2015,2015-02-25,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,247.2,247.2,244,244.52,191944
3044,7/4/2015,2015-04-07,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,241,241.97,241,241.45,173396
3062,4/5/2015,2015-05-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,238,238,236.01,237,179368
3097,23/6/2015,2015-06-23,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,237.6,237.6,236.75,237.38,400462
3149,7/9/2015,2015-09-07,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,234.9,234.9,230.6,231,292600
3167,8/10/2015,2015-10-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,230.5,235,230.5,235,172316
3228,4/1/2016,2016-01-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,222.86,225,222.81,224.78,190575
3253,15/2/2016,2016-02-15,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,250,259.95,245,253.7,184572
3288,5/4/2016,2016-04-05,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,257,257,254.96,255.55,167818
3307,3/5/2016,2016-05-03,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,267,270.8,266.35,270.7,111920
3334,13/6/2016,2016-06-13,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,265.1,272.28,265.1,271.75,242566
3403,19/9/2016,2016-09-19,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,285.1,285.1,282.2,283.8,256150
3413,10/10/2016,2016-10-10,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,284.95,284.95,272,273.6,295067
3473,3/1/2017,2017-01-03,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,264.04,265.2,258,263.65,249917
3491,3/2/2017,2017-02-03,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,266.25,270.1,266.25,269.35,77498
3532,5/4/2017,2017-04-05,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,277.81,280.7,277.81,280.6,163053
3550,2/5/2017,2017-05-02,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,281.99,281.99,280.8,280.86,139369
3569,31/5/2017,2017-05-31,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,280.35,280.35,278.81,279,135485
3645,15/9/2017,2017-09-15,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,280.2,281.49,279.28,280.2,147739
3649,22/9/2017,2017-09-22,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,277,277.39,275.5,277.38,126046
3653,28/9/2017,2017-09-28,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,274.76,276.94,274.76,276.33,206076
3655,10/10/2017,2017-10-10,weekday_gap,warning,与上一交易日相隔 11 个日历日，其间有 6 个工作日缺失（可能为交易所假期或抓取缺口）。,277.8,277.8,275.1,275.1,178979
3656,12/10/2017,2017-10-12,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,276.75,276.75,275.49,276.5,123803
3657,16/10/2017,2017-10-16,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,278.5,278.5,276.2,276.75,125486
3658,18/10/2017,2017-10-18,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,277.5,277.5,275.16,275.7,111701
3711,2/1/2018,2018-01-02,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,274,275.6,274,275.3,192865
3743,22/2/2018,2018-02-22,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,272,272,271,271.35,112941
3773,9/4/2018,2018-04-09,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,272.2,272.2,271.35,271.5,177334
3788,2/5/2018,2018-05-02,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,270.3,270.3,268.76,269.88,221030
3821,19/6/2018,2018-06-19,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,268,268,266.8,267.9,144876
3890,25/9/2018,2018-09-25,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,267.8,267.8,266,266.5,210600
3894,8/10/2018,2018-10-08,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,268.49,268.49,264.6,266.98,221040
3954,2/1/2019,2019-01-02,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,283.98,285.88,283.98,285.88,237823
3977,11/2/2019,2019-02-11,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,286.51,287.8,286.51,287.45,67669
4016,8/4/2019,2019-04-08,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,282.2,283.89,282.2,283.55,112630
4033,6/5/2019,2019-05-06,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,283,283,281.8,281.8,122357
4057,10/6/2019,2019-06-10,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,299.32,299.9,298.2,298.7,103348
4126,16/9/2019,2019-09-16,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,344.9,346,343.8,344.72,108947
4137,8/10/2019,2019-10-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,344.33,344.46,342.6,344,80623
4198,2/1/2020,2020-01-02,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,341.95,343,340.8,341.9,244416
4214,3/2/2020,2020-02-03,weekday_gap,warning,与上一交易日相隔 11 个日历日，其间有 6 个工作日缺失（可能为交易所假期或抓取缺口）。,349,358,349,356.1,92986
4259,7/4/2020,2020-04-07,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,370,377.48,370,371,113111
4277,6/5/2020,2020-05-06,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,380.95,380.95,377.01,380.3,75888
4313,29/6/2020,2020-06-29,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,399,399,397,397.2,122255
4381,9/10/2020,2020-10-09,weekday_gap,warning,与上一交易日相隔 9 个日历日，其间有 6 个工作日缺失（可能为交易所假期或抓取缺口）。,403.8,405.8,402.5,404.5,191072
4441,4/1/2021,2021-01-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,397.48,399.5,396,398.15,192173
4469,18/2/2021,2021-02-18,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,377.01,377.01,370.5,372.1,132908
4501,6/4/2021,2021-04-06,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,368.5,368.5,365.8,366.4,83028
4521,6/5/2021,2021-05-06,weekday_gap,warning,与上一交易日相隔 3 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,373,375.8,373,375.35,163674
4548,15/6/2021,2021-06-15,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,383.2,383.2,379,381.81,124304
4617,22/9/2021,2021-09-22,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,372,372.75,371,372.01,167082
4624,8/10/2021,2021-10-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,367.19,367.43,365.9,365.9,254176
4685,4/1/2022,2022-01-04,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,373,373,371,371.4,336474
4704,7/2/2022,2022-02-07,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,369.47,371.54,369.47,371.35,119304
4744,6/4/2022,2022-04-06,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,393.89,394.97,393,393.2,96743
4762,5/5/2022,2022-05-05,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,403.51,404.19,402.05,402.7,63888
4783,6/6/2022,2022-06-06,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,399.99,399.99,396.7,397,67787
4853,13/9/2022,2022-09-13,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,389.5,390,389,389.59,98410
4867,10/10/2022,2022-10-10,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,390,396.1,390,392.5,122798
4927,3/1/2023,2023-01-03,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,411,412.5,409,412,169391
4941,30/1/2023,2023-01-30,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,425,425,420,422.8,163032
4988,6/4/2023,2023-04-06,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,446,446.9,445.6,446.7,97417
5005,4/5/2023,2023-05-04,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,447.49,457,447.49,452.8,97308
5040,26/6/2023,2023-06-26,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,449.9,449.9,448,449.3,140652
5109,9/10/2023,2023-10-09,weekday_gap,warning,与上一交易日相隔 11 个日历日，其间有 6 个工作日缺失（可能为交易所假期或抓取缺口）。,446,459,438,438,248124
5169,2/1/2024,2024-01-02,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,480.8,483.8,480,483.6,203309
5198,19/2/2024,2024-02-19,weekday_gap,warning,与上一交易日相隔 10 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,478.1,481.9,477.5,479.52,317025
5231,8/4/2024,2024-04-08,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,537.5,560,537.5,554.08,252047
5248,6/5/2024,2024-05-06,weekday_gap,warning,与上一交易日相隔 6 个日历日，其间有 3 个工作日缺失（可能为交易所假期或抓取缺口）。,545.8,545.8,540,544.3,89447
5273,11/6/2024,2024-06-11,weekday_gap,warning,与上一交易日相隔 4 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,545,548,541.88,543.95,107195
5342,18/9/2024,2024-09-18,weekday_gap,warning,与上一交易日相隔 5 个日历日，其间有 2 个工作日缺失（可能为交易所假期或抓取缺口）。,584.99,585,581.85,582,100075
5351,8/10/2024,2024-10-08,weekday_gap,warning,与上一交易日相隔 8 个日历日，其间有 5 个工作日缺失（可能为交易所假期或抓取缺口）。,592.01,601,592.01,593.4,114534
5412,2/1/2025,2025-01-02,weekday_gap,warning,与上一交易日相隔 2 个日历日，其间有 1 个工作日缺失（可能为交易所假期或抓取缺口）。,614,622.6,614,622,127458
5430,5/2/2025,2025-02-05,weekday_gap,warning,与上一交易日相隔 9 个日历日，其间有 6 个工作日缺失（可能为交易所假期或抓取缺口）。,669.21,669.78,660.5,667.87,933
