date,rule,disposition,reason,reviewer,decided_on
2008-09-16,weekday_gap,,,,
2008-09-18,extreme_intraday_range,,,,
2008-09-18,large_close_change_warning,,,,
2008-09-19,extreme_intraday_range,,,,
2008-10-06,weekday_gap,,,,
2008-10-13,large_close_change_warning,,,,
2008-10-23,extreme_intraday_range,,,,
2008-10-31,extreme_intraday_range,,,,
2009-01-05,weekday_gap,,,,
2009-02-02,large_close_change_warning,,,,
2009-02-02,weekday_gap,,,,
2009-04-07,weekday_gap,,,,
2009-05-04,weekday_gap,,,,
2009-06-01,weekday_gap,,,,
2009-10-09,weekday_gap,,,,
2010-01-04,weekday_gap,,,,
2010-02-22,weekday_gap,,,,
2010-05-04,weekday_gap,,,,
2010-06-15,weekday_gap,,,,
2010-06-17,weekday_gap,,,,
2010-07-08,large_volume_change_warning,,,,
2010-09-27,weekday_gap,,,,
2010-10-08,weekday_gap,,,,
2010-10-26,large_volume_change_warning,,,,
2010-10-27,large_volume_change_warning,,,,
2010-11-25,large_volume_change_warning,,,,
2010-11-30,large_volume_change_warning,,,,
2010-12-10,large_volume_change_warning,,,,
2011-01-04,weekday_gap,,,,
2011-02-09,weekday_gap,,,,
2011-03-23,large_volume_change_warning,,,,
2011-04-04,large_volume_change_warning,,,,
2011-04-06,large_volume_change_warning,,,,
2011-04-06,weekday_gap,,,,
2011-05-03,weekday_gap,,,,
2011-06-07,weekday_gap,,,,
2011-08-25,extreme_intraday_range,,,,
2011-09-13,weekday_gap,,,,
2011-09-16,extreme_intraday_range,,,,
2011-09-26,extreme_intraday_range,,,,
2011-09-26,large_close_change_warning,,,,
2011-10-10,weekday_gap,,,,
2012-01-04,large_volume_change_warning,,,,
2012-01-30,weekday_gap,,,,
2012-03-07,extreme_intraday_range,,,,
2012-04-04,weekday_gap,,,,
2012-05-01,weekday_gap,,,,
2012-05-17,weekday_gap,,,,
2012-06-25,weekday_gap,,,,
2012-10-08,weekday_gap,,,,
2013-01-04,large_volume_change_warning,,,,
2013-01-08,weekday_gap,,,,
2013-02-18,large_volume_change_warning,,,,
2013-02-18,weekday_gap,,,,
2013-04-08,weekday_gap,,,,
2013-04-15,extreme_intraday_range,,,,
2013-04-15,large_close_change_warning,,,,
2013-04-16,extreme_intraday_range,,,,
2013-05-01,large_volume_change_warning,,,,
2013-05-01,weekday_gap,,,,
2013-05-02,large_volume_change_warning,,,,
2013-05-28,weekday_gap,,,,
2013-06-13,weekday_gap,,,,
2013-07-16,extreme_intraday_range,,,,
2013-09-23,weekday_gap,,,,
2013-10-08,weekday_gap,,,,
2013-12-26,extreme_intraday_range,,,,
2013-12-27,extreme_intraday_range,,,,
2014-01-02,weekday_gap,,,,
2014-02-06,weekday_gap,,,,
2014-02-07,large_volume_change_warning,,,,
2014-04-07,large_volume_change_warning,,,,
2014-04-08,large_volume_change_warning,,,,
2014-05-05,weekday_gap,,,,
2014-06-03,weekday_gap,,,,
2014-09-09,weekday_gap,,,,
2014-10-02,weekday_gap,,,,
2014-10-08,weekday_gap,,,,
2015-01-05,weekday_gap,,,,
2015-02-25,weekday_gap,,,,
2015-04-07,weekday_gap,,,,
2015-05-04,weekday_gap,,,,
2015-06-23,weekday_gap,,,,
2015-07-10,extreme_intraday_range,,,,
2015-09-07,weekday_gap,,,,
2015-09-17,extreme_intraday_range,,,,
2015-10-08,weekday_gap,,,,
2015-11-10,extreme_intraday_range,,,,
2016-01-04,weekday_gap,,,,
2016-02-15,extreme_intraday_range,,,,
2016-02-15,weekday_gap,,,,
2016-04-05,weekday_gap,,,,
2016-05-03,weekday_gap,,,,
2016-06-13,weekday_gap,,,,
2016-06-24,extreme_intraday_range,,,,
2016-07-02,large_volume_change_warning,,,,
2016-07-04,large_volume_change_warning,,,,
2016-09-19,weekday_gap,,,,
2016-10-10,weekday_gap,,,,
2017-01-03,weekday_gap,,,,
2017-02-03,weekday_gap,,,,
2017-04-05,weekday_gap,,,,
2017-04-13,extreme_intraday_range,,,,
2017-05-02,weekday_gap,,,,
2017-05-19,extreme_intraday_range,,,,
2017-05-31,weekday_gap,,,,
2017-09-15,weekday_gap,,,,
2017-09-22,weekday_gap,,,,
2017-09-28,weekday_gap,,,,
2017-10-10,weekday_gap,,,,
2017-10-12,weekday_gap,,,,
2017-10-16,weekday_gap,,,,
2017-10-18,weekday_gap,,,,
2018-01-02,weekday_gap,,,,
2018-02-22,weekday_gap,,,,
2018-04-09,weekday_gap,,,,
2018-05-02,weekday_gap,,,,
2018-06-19,weekday_gap,,,,
2018-09-25,weekday_gap,,,,
2018-10-08,weekday_gap,,,,
2019-01-02,weekday_gap,,,,
2019-02-11,weekday_gap,,,,
2019-04-08,weekday_gap,,,,
2019-05-06,weekday_gap,,,,
2019-06-10,weekday_gap,,,,
2019-08-05,extreme_intraday_range,,,,
2019-09-16,weekday_gap,,,,
2019-10-08,weekday_gap,,,,
2019-10-24,extreme_intraday_range,,,,
2020-01-02,weekday_gap,,,,
2020-02-03,weekday_gap,,,,
2020-03-13,extreme_intraday_range,,,,
2020-03-24,extreme_intraday_range,,,,
2020-04-07,weekday_gap,,,,
2020-05-06,weekday_gap,,,,
2020-06-29,weekday_gap,,,,
2020-08-12,extreme_intraday_range,,,,
2020-08-12,large_close_change_warning,,,,
2020-10-09,weekday_gap,,,,
2020-11-26,extreme_intraday_range,,,,
2021-01-04,weekday_gap,,,,
2021-02-18,weekday_gap,,,,
2021-04-06,weekday_gap,,,,
2021-05-06,weekday_gap,,,,
2021-06-02,extreme_intraday_range,,,,
2021-06-15,weekday_gap,,,,
2021-09-22,weekday_gap,,,,
2021-10-08,weekday_gap,,,,
2021-10-12,extreme_intraday_range,,,,
2021-12-30,extreme_intraday_range,,,,
2022-01-04,weekday_gap,,,,
2022-01-18,extreme_intraday_range,,,,
2022-02-07,weekday_gap,,,,
2022-02-10,extreme_intraday_range,,,,
2022-04-06,weekday_gap,,,,
2022-05-05,weekday_gap,,,,
2022-06-06,weekday_gap,,,,
2022-08-11,extreme_intraday_range,,,,
2022-09-13,weekday_gap,,,,
2022-10-10,weekday_gap,,,,
2022-11-04,extreme_intraday_range,,,,
2023-01-03,weekday_gap,,,,
2023-01-30,weekday_gap,,,,
2023-03-20,extreme_intraday_range,,,,
2023-03-21,extreme_intraday_range,,,,
2023-04-06,weekday_gap,,,,
2023-05-04,weekday_gap,,,,
2023-06-01,extreme_intraday_range,,,,
2023-06-26,weekday_gap,,,,
2023-08-07,extreme_intraday_range,,,,
2023-10-09,weekday_gap,,,,
2023-12-14,extreme_intraday_range,,,,
2024-01-02,weekday_gap,,,,
2024-02-19,weekday_gap,,,,
2024-04-08,weekday_gap,,,,
2024-05-06,weekday_gap,,,,
2024-06-11,weekday_gap,,,,
2024-09-18,weekday_gap,,,,
2024-10-08,weekday_gap,,,,
2025-01-02,weekday_gap,,,,
2025-02-05,large_volume_change_warning,,,,
2025-02-05,weekday_gap,,,,
2025-03-06,large_volume_change_warning,,,,
2025-04-09,weekday_gap,,,,
2025-04-23,extreme_intraday_range,,,,
2025-05-06,weekday_gap,,,,
2025-06-03,weekday_gap,,,,
2025-10-09,weekday_gap,,,,
2025-12-01,extreme_intraday_range,,,,
2026-01-05,weekday_gap,,,,
2026-01-28,extreme_intraday_range,,,,
2026-01-29,extreme_intraday_range,,,,
2026-01-30,extreme_intraday_range,,,,
2026-01-30,large_close_change_warning,,,,
2026-02-02,extreme_intraday_range,,,,
2026-02-02,large_close_change_warning,,,,
2026-02-03,extreme_intraday_range,,,,
2026-02-03,large_close_change_warning,,,,
2026-02-04,extreme_intraday_range,,,,
2026-02-05,extreme_intraday_range,,,,
2026-02-09,extreme_intraday_range,,,,
2026-02-18,weekday_gap,,,,
2026-02-24,weekday_gap,,,,
2026-03-19,extreme_intraday_range,,,,
2026-03-20,extreme_intraday_range,,,,
2026-03-23,extreme_intraday_range,,,,
2026-03-23,large_close_change_warning,,,,
2026-03-24,large_close_change_warning,,,,
2026-03-25,extreme_intraday_range,,,,
2026-04-02,extreme_intraday_range,,,,
2026-04-07,weekday_gap,,,,
2026-05-06,weekday_gap,,,,
2026-06-22,weekday_gap,,,,
